"CRN","Course","*Campus","Days","Date","Time","Location","Hrs","Type","Title","Instructor","Seats","Limit","Enroll","Waitlist","Course Fees","Catalog"
"31734","ARTS 1634-04","M","T","01/16/2023-05/09/2023","1555-1755","FACW 104","1","CLAS","Painting with Oils","Jenny C. Blomquist","10","17","7","0","$75","https://catalog.nmt.edu/courses/ARTS1634",""
"31150","ARTS 1810-01","M","T","01/16/2023-05/09/2023","1500-1650","FACW 109","1","CLAS","Beg. Metal Arts/Lapidary","Theresa A. Boracci","0","7","7","0","$35","https://catalog.nmt.edu/courses/",""
"31150","ARTS 1810-01","M","T","01/16/2023-05/09/2023","1400-1450","FACW 109","1","CLAS","Beg. Metal Arts/Lapidary","Theresa A. Boracci","0","7","7","0","$35","https://catalog.nmt.edu/courses/ARTS1810",""
"31151","ARTS 1810-02","M","T","01/16/2023-05/09/2023","1830-2020","FACW 109","1","CLAS","Beg. Metal Arts/Lapidary","Theresa A. Boracci","0","6","6","0","$35","https://catalog.nmt.edu/courses/",""
"31151","ARTS 1810-02","M","T","01/16/2023-05/09/2023","1400-1450","FACW 109","1","CLAS","Beg. Metal Arts/Lapidary","Theresa A. Boracci","0","6","6","0","$35","https://catalog.nmt.edu/courses/ARTS1810",""
"31154","ARTS 1820-01","M","R","01/16/2023-05/09/2023","1400-1700","FACW 109","1","CLAS","Enameling","Theresa A. Boracci","1","6","5","0","$35","https://catalog.nmt.edu/courses/ARTS1820",""
"31733","ARTS 2276-01","M","W","01/16/2023-05/09/2023","1530-1730","FACE 114","1","CLAS","Intermediate Weaving","Elizabeth C. Gipson","2","12","10","0","$60","https://catalog.nmt.edu/courses/ARTS2276",""
"31158","ARTS 2310-01","M","T","01/16/2023-05/09/2023","1700-1915","FACE 102","1","CLAS","Ceramics II","Jake I. Ross","1","12","11","0","$60","https://catalog.nmt.edu/courses/ARTS2310",""
"31159","ARTS 2325-01","M","R","01/16/2023-05/09/2023","1800-2100","FACW 109","1","CLAS","Precious Metal Clay I","Theresa A. Boracci","4","6","2","0","$170","https://catalog.nmt.edu/courses/ARTS2325",""
"31735","ARTS 2354-01","M","W","01/16/2023-05/09/2023","1400-1700","FACW 109","1","CLAS","Stained Glass II","Theresa A. Boracci","0","6","6","0","$35","https://catalog.nmt.edu/courses/ARTS2354",""
"31161","ARTS 2810-01","M","M","01/16/2023-05/09/2023","1500-1650","FACW 109","1","CLAS","Metal Arts/ Lapidary II","Theresa A. Boracci","3","6","3","0","$35","https://catalog.nmt.edu/courses/",""
"31161","ARTS 2810-01","M","M","01/16/2023-05/09/2023","1400-1650","FACW 109","1","CLAS","Metal Arts/ Lapidary II","Theresa A. Boracci","3","6","3","0","$35","https://catalog.nmt.edu/courses/ARTS2810",""
"31162","ARTS 2810-02","M","M","01/16/2023-05/09/2023","1830-2020","FACW 109","1","CLAS","Metal Arts/Lapidary II","Theresa A. Boracci","4","6","2","0","$35","https://catalog.nmt.edu/courses/",""
"31162","ARTS 2810-02","M","M","01/16/2023-05/09/2023","1400-1450","FACW 109","1","CLAS","Metal Arts/Lapidary II","Theresa A. Boracci","4","6","2","0","$35","https://catalog.nmt.edu/courses/ARTS2810",""
"31164","ARTS 2890-01","M","U","01/16/2023-05/09/2023","0900-1200","FACW 109","1","CLAS","Armor Making","Theresa A. Boracci","0","8","8","2","$35","https://catalog.nmt.edu/courses/ARTS2890",""
"31737","ARTS 2891-01","M","U","01/16/2023-05/09/2023","1300-1600","","1","CLAS","Armor Making II","Theresa A. Boracci","0","6","6","0","$35","https://catalog.nmt.edu/courses/ARTS2891",""
"31736","ARTS 318-01","M","W","01/16/2023-05/09/2023","1830-2100","FACW 109","1","CLAS","Metal Arts III","Theresa A. Boracci","2","4","2","0","$15","https://catalog.nmt.edu/courses/ARTS318",""
"31465","BIOL 0289-01","M","T","01/16/2023-05/09/2023","1200-1345","JONESA 234","2","CLAS","SEAPHAGES Bioinformatics","Joel T. Sharbrough & Linda C. DeVeaux","3","8","5","0","$150","https://catalog.nmt.edu/courses/BIOL0289",""
"30892","BIOL 2110-01","M","M W F","01/16/2023-05/09/2023","1100-1150","JONESA 102","3","CLAS","Prin of Bio: Cell & Molecular","Kaarin K. Goncz","4","22","18","0","$25","https://catalog.nmt.edu/courses/BIOL2110",""
"30893","BIOL 2110L-01","M","W","01/16/2023-05/09/2023","1400-1630","JONESA 224","1","CLAS","Prin of Bio: Cell & Molec Lab","Kaarin K. Goncz","2","16","14","0","$150","https://catalog.nmt.edu/courses/BIOL2110",""
"30895","BIOL 2610-01","M","M W F","01/16/2023-05/09/2023","1000-1050","JONESA 101","3","CLAS","Prin of Bio:Biodiv, Eco, & Evo","Marina C. Hein & Linda C. DeVeaux","23","50","27","0","$25","https://catalog.nmt.edu/courses/BIOL2610",""
"30897","BIOL 2610L-02","M","T","01/16/2023-05/09/2023","1400-1630","JONESA 202","1","CLAS","Prin of Bio:Biodiv,Eco&Evo Lab","Kaarin K. Goncz","1","17","16","0","$150","https://catalog.nmt.edu/courses/BIOL2610",""
"30898","BIOL 2610L-03","M","W","01/16/2023-05/09/2023","1400-1630","JONESA 202","1","CLAS","Prin of Bio:Biodiv,Eco&Evo Lab","Kaarin K. Goncz","9","16","7","0","$150","https://catalog.nmt.edu/courses/BIOL2610",""
"30572","BIOL 311-01","M","M W F","01/16/2023-05/09/2023","1000-1050","MSEC 195","3","CLAS","Genetics","Joel T. Sharbrough","1","32","31","0","$25","https://catalog.nmt.edu/courses/BIOL311",""
"30573","BIOL 311L-01","M","W","01/16/2023-05/09/2023","1400-1630","JONESA 234","1","CLAS","Genetics Lab","Joel T. Sharbrough","4","16","12","0","$150","https://catalog.nmt.edu/courses/BIOL311",""
"30574","BIOL 311L-02","M","R","01/16/2023-05/09/2023","1400-1630","JONESA 234","1","CLAS","Genetics Lab","Joel T. Sharbrough","0","16","16","0","$150","https://catalog.nmt.edu/courses/BIOL311",""
"30222","BIOL 343-01","M","M W F","01/16/2023-05/09/2023","0900-0950","JONESA 101","3","CLAS","Environmental Microbiology","Thomas Kieft","2","23","21","0","$25","https://catalog.nmt.edu/courses/BIOL343",""
"30223","BIOL 343L-01","M","W","01/16/2023-05/09/2023","1400-1630","JONESA 230","1","CLAS","Environmental Microbiology Lab","Thomas Kieft","2","16","14","0","$150","https://catalog.nmt.edu/courses/BIOL343",""
"30340","BIOL 352-01","M","T R","01/16/2023-05/09/2023","1230-1345","SPEARE 19","3","CLAS","Anatomy and Physiology II","Stephen D. Wilkinson","7","20","13","0","$25","https://catalog.nmt.edu/courses/BIOL352",""
"30890","BIOL 352L-01","M","F","01/16/2023-05/09/2023","1400-1630","JONESA 202","1","CLAS","Anatomy & Physiology II Lab","Kaarin K. Goncz","4","16","12","0","$150","https://catalog.nmt.edu/courses/BIOL352",""
"31466","BIOL 411-01","M","T R","01/16/2023-05/09/2023","1100-1215","JONESA 102","3","CLAS","Advanced Genetics","Linda C. DeVeaux","13","16","3","0","$25","https://catalog.nmt.edu/courses/BIOL411",""
"30389","BIOL 437-01","M","M W F","01/16/2023-05/09/2023","1100-1150","JONESA 101","3","CLAS","Infection and Immunity","Thomas Kieft","27","30","3","0","$25","https://catalog.nmt.edu/courses/BIOL437",""
