CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"30897","BIOL 2610L-02","M","T","01/16/2023-05/09/2023","1400-1630","JONESA 202","1","CLAS","Prin of Bio:Biodiv,Eco&Evo Lab","Kaarin K. Goncz","1","17","16","0","$150","Bookstore Link",
"30898","BIOL 2610L-03","M","W","01/16/2023-05/09/2023","1400-1630","JONESA 202","1","CLAS","Prin of Bio:Biodiv,Eco&Evo Lab","Kaarin K. Goncz","9","16","7","0","$150","Bookstore Link",
"30572","BIOL 311-01","M","M W F","01/16/2023-05/09/2023","1000-1050","MSEC 195","3","CLAS","Genetics","Joel T. Sharbrough","1","32","31","0","$25","Bookstore Link",
"30573","BIOL 311L-01","M","W","01/16/2023-05/09/2023","1400-1630","JONESA 234","1","CLAS","Genetics Lab","Joel T. Sharbrough","4","16","12","0","$150","Bookstore Link",
"30574","BIOL 311L-02","M","R","01/16/2023-05/09/2023","1400-1630","JONESA 234","1","CLAS","Genetics Lab","Joel T. Sharbrough","0","16","16","0","$150","Bookstore Link",
"30222","BIOL 343-01","M","M W F","01/16/2023-05/09/2023","0900-0950","JONESA 101","3","CLAS","Environmental Microbiology","Thomas Kieft","2","23","21","0","$25","Bookstore Link",
"30223","BIOL 343L-01","M","W","01/16/2023-05/09/2023","1400-1630","JONESA 230","1","CLAS","Environmental Microbiology Lab","Thomas Kieft","2","16","14","0","$150","Bookstore Link",
"30340","BIOL 352-01","M","T R","01/16/2023-05/09/2023","1230-1345","SPEARE 19","3","CLAS","Anatomy and Physiology II","Stephen D. Wilkinson","7","20","13","0","$25","Bookstore Link",
"30890","BIOL 352L-01","M","F","01/16/2023-05/09/2023","1400-1630","JONESA 202","1","CLAS","Anatomy & Physiology II Lab","Kaarin K. Goncz","4","16","12","0","$150","Bookstore Link",
"31466","BIOL 411-01","M","T R","01/16/2023-05/09/2023","1100-1215","JONESA 102","3","CLAS","Advanced Genetics","Linda C. DeVeaux","13","16","3","0","$25","Bookstore Link",
"30389","BIOL 437-01","M","M W F","01/16/2023-05/09/2023","1100-1150","JONESA 101","3","CLAS","Infection and Immunity","Thomas Kieft","27","30","3","0","$25","Bookstore Link",
"31001","BIOL 443-01","M","T R","01/16/2023-05/09/2023","0930-1045","SPEARE 23","3","CLAS","Molecular Biology","Snezna Rogelj","4","12","8","0","$25","Bookstore Link",
"31002","BIOL 443L-01","M","R","01/16/2023-05/09/2023","1400-1630","JONESA 230","1","CLAS","Molecular Biology Lab","Snezna Rogelj","5","12","7","0","$150","Bookstore Link",
"30376","BIOL 471-01","M","W","01/16/2023-05/09/2023","1200-1250","JONESA 101","1","CLAS","Life Sci Seminar","Snezna Rogelj","20","30","10","0","$25","Bookstore Link",
"31280","BIOL 489-01","M","T R","01/16/2023-05/09/2023","1400-1515","CRAMER 101","3","CLAS","Neurology","Stewart Thompson","5","10","5","0","$15","Bookstore Link",
"30187","BIOL 500-01","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Linda C. DeVeaux","10","10","0","0","N/A","Bookstore Link",
"30188","BIOL 500-02","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Benjamin D. Duval","9","10","1","0","N/A","Bookstore Link",
"30189","BIOL 500-03","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Thomas Kieft","10","10","0","0","N/A","Bookstore Link",
